IID	AGE	SEX	PC01	PC02	PC03	PC04	PC05
ID_001	0.199426813268783	0	-0.0109014	0.0462363	-0.0272948	-0.00748014	0.00470315
ID_002	-0.829764647357603	0	0.00637629	-0.00200517	-0.00108298	0.00540607	0.000137391
ID_003	-1.03560293948288	0	0.0103864	-0.00676172	0.000785164	-0.00612183	0.00100164
ID_004	-0.848477219368992	1	0.0108307	-0.00694051	-0.000638697	-0.0077418	0.00113121
ID_005	0.162001669246005	1	-0.00802038	-0.00524745	0.000267176	-0.0110243	-0.00243593
ID_006	-0.661351499255104	1	-0.00891431	-0.00170807	0.00735537	0.090644	0.00435766
ID_007	-0.848477219368992	1	0.0102486	-0.0067004	-0.00130271	-0.00673532	0.000387787
ID_008	2.72562403480628	0	-0.035203	-0.00408017	-0.000417793	-0.000292214	-0.00383087
ID_009	-0.418088063107049	0	0.00697145	0.0340164	-0.0140779	0.0145634	-0.000367456
ID_010	-0.979465223448714	0	0.0106484	-0.0067944	0.000527061	-0.00617188	-0.000437346
ID_011	1.47188171004322	1	0.00130512	-0.00539261	0.002213	-0.00346306	-0.000364069
ID_012	-0.829764647357603	0	0.0100226	-0.0064984	-0.000403437	-0.00706266	0.000131766
ID_013	-1.03560293948288	0	0.00598547	0.037268	0.076706	-0.0154601	-4.96018e-05
ID_014	-0.586501211209548	1	0.0106018	-0.00698184	0.000212165	-0.00901375	0.000466791
ID_015	0.816941689644614	1	-0.0227417	-0.00339323	0.00117333	-0.00186754	-0.00606475
ID_016	-0.698776643277881	0	-0.0265389	-0.00243288	0.00103679	-0.00613962	-0.0296812
ID_017	0.199426813268783	0	-0.0130966	0.00984643	-0.00289689	0.00786195	-0.00527783
ID_018	-0.829764647357603	1	0.0104605	-0.00561906	-0.000162785	-0.0068156	0.00161224
ID_019	-0.960752651437325	1	-0.0272113	-0.00360068	-0.00213896	-0.00410456	-0.00381483
ID_020	-0.586501211209548	1	0.00539129	0.0907319	-0.046183	-0.016207	0.000570589
ID_021	0.105863953211839	1	0.0103095	-0.00658333	-0.000146648	-0.00880625	0.00167168
ID_022	2.59463603072655	1	0.0105862	-0.00690616	-0.00129784	-0.00798008	0.00156581
ID_023	-0.979465223448714	1	0.0105794	-0.0077446	-0.001267	-0.00832255	0.000242667
ID_024	-0.492938351152604	0	-0.0271213	-0.00357982	0.000636855	-0.00431979	-0.00510055
ID_025	2.80047432285183	0	-0.0264107	-0.0039731	-0.000652686	-0.00990654	0.000492519
ID_026	0.685953685564893	1	-0.0278439	-0.00319424	0.00205116	-0.0037867	-0.00639008
ID_027	-0.829764647357603	1	0.010783	-0.00760403	-0.000318055	-0.00142353	-0.000879177
ID_028	0.143289097234616	1	0.0104619	-0.006782	-0.000962246	-0.00866569	0.00026487
ID_029	-0.829764647357603	0	0.00972179	0.00857355	-0.00701244	-0.0043226	0.00110464
ID_030	-0.71748921528927	0	0.0106392	-0.00654092	-0.000111041	-0.00594709	0.00101561
ID_031	1.54673199808878	1	-0.00275695	-0.00529498	-0.000463052	-0.00973581	0.000968411
ID_032	-0.0438366228792721	0	-0.00844163	-0.00450375	-0.000600376	0.00323357	-0.000984593
ID_033	-0.642638927243715	1	-0.0267146	-0.00295822	-0.0012444	-0.00544829	-0.00142971
ID_034	-0.736201787300659	1	0.0103749	-0.00683515	-0.000758827	-0.0043499	0.00114798
ID_035	-1.01689036747149	0	0.00989482	-0.00620545	0.000414775	-0.00822154	0.000623834
ID_036	-0.998177795460103	1	0.00323053	0.0802764	-0.0381504	-0.0147644	-0.000930544
ID_037	-0.71748921528927	1	-0.0216996	-0.0048267	-0.00176855	-0.00449257	-0.00398894
ID_038	1.86484572228239	0	0.0104475	-0.00734368	-0.00181376	-0.00771634	-0.000124105
ID_039	0.162001669246005	0	0.0107978	-0.00757175	-0.00139312	-0.00527601	0.000813042
ID_040	0.105863953211839	0	0.00623079	0.0155471	0.0442019	0.0383757	0.00316048
ID_041	-0.848477219368992	0	0.0105631	-0.00625459	9.14356e-05	-0.00624159	0.00203703
ID_042	0.255564529302949	0	0.0105693	-0.00688117	-0.00110117	-0.00698165	-0.000714323
ID_043	0.704666257576281	1	0.0104281	-0.0078986	-0.00091342	-0.00348949	0.000712517
ID_044	-0.773626931323437	1	-0.00846378	-0.00559494	-0.00105061	-0.00584872	0.00767406
ID_045	3.41798919922766	1	0.01068	-0.00684954	3.64286e-05	-0.00859657	0.00107075
ID_046	-0.287100059027327	0	0.0100727	-0.00595985	0.000560591	0.0100587	0.00109519
ID_047	-0.923327507414547	0	0.0105501	-0.00629632	-0.000864703	-0.00712999	-0.000458432
ID_048	-1.03560293948288	1	0.00693002	0.0187308	-0.0121931	-0.000109867	0.000522504
ID_049	-0.848477219368992	1	0.0108247	-0.00691588	-0.000257276	-0.00813045	-0.000572804
ID_050	-1.01689036747149	0	0.0107833	-0.0063763	-0.00134285	-0.00555766	0.00144355
