IID	AGE	SEX	PC01	PC02	PC03	PC04	PC05
ID_001	-0.88590236339177	0	0.0106429	-0.00752058	0.000819778	-0.00440558	0.000935804
ID_002	0.0871513812004498	0	0.0107673	-0.00724868	-0.000951076	-0.00687595	-3.85968e-05
ID_003	2.93146232693155	1	-0.0259002	-0.00348631	0.00121049	-0.0027941	0.00677836
ID_004	-0.848477219368992	0	-0.030314	-0.00267059	-4.37386e-08	-0.00539573	-0.00827722
ID_005	-0.00641147885649445	1	-0.0274346	-0.00379049	0.00215994	-0.00761701	0.00124143
ID_006	-0.56778863919816	0	-0.0248442	-0.00443755	0.000392942	-0.00297178	-0.0123979
ID_007	0.143289097234616	0	-0.0264017	-0.00346821	-0.00105458	-0.0015491	-0.00535732
ID_008	-0.848477219368992	0	0.00424081	0.0506145	-0.0259236	-0.000417177	0.00244819
ID_009	1.54673199808878	0	-0.00929868	-0.00507537	0.00120763	-0.00513761	-0.00450526
ID_010	-1.03560293948288	0	0.000685803	-0.00587144	-0.00120997	-0.00861657	-0.00103927
ID_011	-0.174824626958994	0	-0.0156926	-0.00364248	0.000763963	-0.00799853	-0.00606502
ID_012	-0.0251240508678833	1	0.0107517	-0.0072714	-0.00091041	-0.0100511	0.00190396
ID_013	1.39703142199767	0	0.0107189	-0.00717648	-5.00108e-05	-0.00945659	-0.000128318
ID_014	-0.848477219368992	1	-0.0267845	-0.00448772	-0.000204714	-0.000643406	0.000903275
ID_015	-0.792339503334826	1	0.00160681	0.0629647	0.14149	-0.0122982	-1.84216e-05
ID_016	-0.492938351152604	0	0.0103344	-0.00688855	0.000492335	0.00537661	0.00203612
ID_017	-0.642638927243715	0	0.0103789	-0.0015844	-0.00106669	-0.0116083	0.000835721
ID_018	-0.305812631038716	0	-0.00853818	-0.00585994	-0.000248601	-0.0078163	0.00122123
ID_019	0.0871513812004498	0	-0.0066938	-0.00529155	8.5576e-06	-0.00818514	-0.00131433
ID_020	-0.137399482936216	1	0.0103185	-0.00621886	-0.000383567	-0.00231641	0.000216101
ID_021	-0.71748921528927	0	0.0104508	-0.00715226	-0.000616572	-0.00292745	0.00129183
ID_022	-0.0251240508678833	0	0.0105949	-0.00724586	-0.00159029	-0.00750043	0.000179104
ID_023	1.0040674097585	1	0.0107425	-0.00653422	-0.000301488	-0.00750544	-0.00102097
ID_024	-0.661351499255104	0	0.0105428	-0.0075503	-0.0010523	-0.00990203	0.00143659
ID_025	0.049726237177672	0	-0.0264704	-0.00438791	0.00239508	-0.0128392	0.00190575
ID_026	-0.923327507414547	1	0.0106732	-0.00733408	-0.000683346	-0.00793412	0.000689411
ID_027	0.124576525223227	1	0.0107468	-0.00681389	-0.000723551	-0.00695248	0.000195538
ID_028	-0.118686910924828	1	0.00976128	-0.00521636	0.00281506	0.0422205	0.00149576
ID_029	-0.549076067186771	1	0.0105963	-0.00706015	-0.00110375	-0.0102245	-9.02634e-05
ID_030	0.218139385280172	0	-0.0261902	-0.00414325	-0.00176364	-0.00504708	0.00315206
ID_031	-0.642638927243715	0	0.0105642	-0.00675697	-0.000745347	-0.00747656	0.000347379
ID_032	-0.867189791380381	0	0.0102861	-0.0072878	0.00190539	0.0107983	-7.67045e-05
ID_033	0.648528541542115	0	0.010658	-0.00720439	-0.000216505	-0.0074398	-0.000700468
ID_034	-0.736201787300659	0	0.0106751	-0.00736818	0.00035465	-0.00453747	0.000715132
ID_035	-1.01689036747149	0	0.0106013	-0.0071742	-0.000488101	-0.00641711	0.000366675
ID_036	2.42622288262405	0	0.0107399	-0.0071466	-0.000566332	-0.00525565	-0.000278214
ID_037	-0.811052075346214	1	0.0104843	-0.00747466	-0.00153509	-0.00523342	0.000404372
ID_038	0.292989673325727	0	0.0103523	-0.00795118	0.000169342	-0.00749146	0.000890192
ID_039	0.480115393439615	0	0.010375	-0.00683344	-0.000852126	-0.0018286	-0.000616545
ID_040	2.29523487854433	1	-0.0250697	-0.00287639	-0.00106805	-0.00694046	-0.00989236
ID_041	-0.960752651437325	0	0.010618	-0.0071637	-5.01789e-05	-0.00683394	0.000556579
ID_042	2.91274975492016	1	0.0102517	-0.00702564	0.000515935	-0.00588729	0.000473995
ID_043	-0.0812617669020498	1	-0.0262324	-0.00240716	-0.000378928	-0.00640271	-0.00842865
ID_044	0.0871513812004498	0	-0.00899384	-0.00421007	-2.59424e-05	-0.00706223	-0.000931467
ID_045	-1.05431551149427	0	0.0103078	-0.00632712	0.000953883	0.00527405	0.00139959
ID_046	-0.979465223448714	0	0.0107511	-0.00739579	-0.000288441	-0.00378454	0.000415192
ID_047	0.068438809189061	1	-0.027347	-0.00326105	0.00153799	-0.00474332	-0.00243664
ID_048	-0.829764647357603	0	0.010475	-0.00551178	-0.00318774	-0.00292107	-0.000265263
ID_049	0.049726237177672	0	0.0108269	-0.00689763	-0.00133764	-0.0076415	0.000903341
ID_050	1.99583372636211	0	0.0107398	-0.00661778	-0.00093494	-0.00749046	0.00134753
ID_051	1.24733084590656	0	0.0109543	-0.00722647	-0.000646302	-0.00766465	0.000182469
ID_052	-0.0438366228792721	0	0.0106043	-0.00646472	-0.00200303	-0.00797293	0.00145813
ID_053	-0.792339503334826	1	0.0105248	-0.00669703	-0.000235791	-0.00344536	0.000537509
ID_054	-0.848477219368992	1	-0.0292628	-0.00247919	0.00198531	-0.00648779	-0.0098046
ID_055	0.311702245337116	0	0.0103681	-0.00649415	-0.000327884	0.00752537	0.00161322
ID_056	1.86484572228239	0	-0.0319393	-0.00326903	-0.00111639	-0.0115114	0.000897432
ID_057	0.536253109473782	0	0.0100881	-0.0075281	-0.00259064	-0.00615789	0.00025735
ID_058	-0.829764647357603	1	0.00995285	-0.00645567	-0.000888758	-0.0029523	0.00133219
ID_059	-0.867189791380381	0	0.0107101	-0.00747764	0.000495311	-0.00756762	0.00133637
